Player,Team,Age,GP,MP,Min,Screen Assists,Screen Assists PTS,,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,Charges Drawn,Contested 2PT�Shots,Contested 3PT�Shots,Contested Shots
AJ Green,MIL,25,72,1656,23,0.4,0.9,1,0.1,0.3,0.4,36.7,63.3,0.07,1.8,1.5,3.3
Luke Kennard,MEM,28,63,1449,23,0.3,0.8,1.4,0.2,0.1,0.3,52.6,47.4,0,0.8,1,1.8
Aaron Wiggins,OKC,26,76,1740.4,22.9,0.4,0.8,1.8,0.3,0.3,0.5,51.3,48.7,0.01,2.3,2.2,4.5
Kel'el Ware,MIA,21,62,1419.8,22.9,2.1,4.7,1.1,0.2,0.1,0.3,55.6,44.4,0,4.3,1.3,5.6
Moses Moody,GSW,23,71,1625.9,22.9,0.3,0.7,2.6,0.3,0.2,0.5,55.3,44.7,0.06,1.9,1.3,3.2
Khris Middleton,WAS,33,37,843.6,22.8,0.2,0.6,1.6,0.3,0.2,0.5,66.7,33.3,0.16,1.1,1.6,2.7
Buddy Hield,GSW,32,82,1861.4,22.7,0.2,0.5,1.8,0.2,0.2,0.4,50,50,0,2,1.6,3.6
Noah Clowney,BKN,20,46,1044.2,22.7,0.6,1.5,1.3,0.1,0.2,0.3,33.3,66.7,0.13,2.7,2.2,4.9
Tyrese Martin,BKN,26,58,1310.8,22.6,0.2,0.5,1.1,0.2,0.3,0.5,42.3,57.7,0,1.5,1.7,3.1
Ausar Thompson,DET,22,59,1327.5,22.5,0.7,1.6,3.6,0.4,0.5,0.8,44.9,55.1,0.02,1.9,1.9,3.8
Bruce Brown,NOP,28,41,922.5,22.5,0.5,1.2,1.8,0.2,0.2,0.4,56.3,43.8,0,0.9,1.3,2.2
Cody Martin,PHX,29,52,1170,22.5,0.5,1.4,2.1,0.4,0.5,0.9,41.7,58.3,0.1,1.6,1.3,2.9
Tolu Smith,DET,24,1,22.4,22.4,4,11,0,0,0,0,0,0,0,5,3,8
Lonzo Ball,CHI,27,35,777,22.2,0.3,0.8,2.4,0.3,0.3,0.6,45,55,0,1.8,1.5,3.3
Ben Simmons,LAC,28,50,1105,22.1,1.7,3.9,2,0.3,0.1,0.4,70,30,0.08,1.5,1.5,3
KJ Martin,UTA,24,41,906.1,22.1,0.7,1.6,0.9,0.2,0.2,0.4,52.9,47.1,0,2.3,1.9,4.2
